1,01175112,Badminton,1,1.0
2,01175121,Basketball,1,1.0
3,01200101,Innovative Thinking,1,0
4,01200111,Communication Skills for Engineers,3,2.0
5,01204211,Discrete Mathematics,3,6.0
6,01204212,Abstract Data Types & Problem Solving,3,4.5
7,01219114,Programming I,3,4.0
8,01219112,Introduction to Information Technology,3,2.0
9,01219116,Programming II,3,5.0
10,01219211,Software Development Training Camp,1,8.0
11,01219212,Abstract Data Types Lab,1,4.0
12,01219213,Communication Skills for SKE,3,3.0
13,01219214,Probability and Statistics for SKE,3,5.0
14,01219215,Computer System Lab,1,6.5
15,01219216,Operating Systems for SKE,3,7.0
16,01219221,Computer Organization and Architecture,3,8.0
17,01219243,Software Specification and Design,3,7.5
18,01219244,Software Specification and Design Lab,1,4.5
19,01219245,Individual Software Development Process,3,5.0
20,01219246,Individual Software Development Process Lab,1,5.0
21,01219271,Knowledge Engineering and Management,3,7.0
22,01219322,Electronic Commerce Engineering,3,5.5
23,01219333,Introduction to Data Mining,3,9.0
24,01219334,Transaction Processing,3,6.5
25,01219343,Software Testing,3,6.0
26,01219344,Mobile Software Development,3,5.5
27,01219347,Workgroup Software Development Process,3,6.0
28,01219348,Workgroup Software Development Process Lab,1,4.0
29,01219351,Web Application Development,3,0
30,01219361,Business Intelligence,3,6
31,01219362,Machine Learning,3,10.0
32,01219363,Knowledge Representation,3,8.0
33,01219364,Knowledge Discovery,3,7.0
34,01219371,Information Technology for Managing Knowledge,3,0
35,01219373,Innovation Management,3,0
36,01219381,Multimedia Data Engineering,3,0
37,01219391,Group Dynamics and Psychology,3,1
38,01219411,Computer Systems Security,3,7
39,01219412,Technical Writing for SKE,3,0
40,01219449,Software Patterns and Architecture,3,0
41,01219451,Web Services Technology,3,6.0
42,01219481,Multimedia Content Analysis,3,7.0
43,01219482,Hypermedia Presentation,3,0
44,01219483,Digital Arts,3,5
45,01219490,Cooperative Education,3,0
46,01219491,Research Methods in SKE,3,0
47,01219492,Software Entrepreneurship,3,8
48,01219495,Software and Knowledge Engineering Individual Project,3,10
49,01219496,Selected Topics in Software and Knowledge Engineering,3,5
50,01219497,Seminar,3,1
51,01219498,Special Problems,3,0
52,01219499,Innovative Software Group Project,3,0
53,01355112,Foundation English II,3,4
54,01355113,Foundation English III,3,4
55,01355206,Technical English,3,4.5
56,01417167,Engineering Mathematics I,3,5
57,01417168,Engineering Mathematics II,3,5
58,01420111,General Physics I,3,5
59,01420112,General Physics II,3,7
60,01420113,Lab in Physics I,1,0
61,01420114,Lab in Physics II,1,0
